#OTU ID	Top2	Fine2	Top3	Fine3	Top4	Fine4
OTU_259	1.0	0.0	0.0	0.0	0.0	0.0
OTU_260	0.0	0.0	0.0	1.0	0.0	1.0
OTU_261	2.0	2.0	3.0	3.0	4.0	0.0
OTU_262	0.0	0.0	0.0	0.0	0.0	0.0
OTU_263	3.0	2.0	4.0	17.0	1.0	23.0
OTU_264	1.0	3.0	7.0	3.0	0.0	0.0
OTU_265	1.0	0.0	0.0	1.0	0.0	0.0
OTU_266	1.0	2.0	5.0	5.0	0.0	0.0
OTU_267	1.0	0.0	2.0	0.0	1.0	2.0
OTU_268	2.0	10.0	6.0	7.0	2.0	1.0
OTU_269	0.0	10.0	1.0	1.0	1.0	0.0
OTU_270	189.0	373.0	42.0	66.0	652.0	14.0
OTU_271	0.0	14.0	1.0	1.0	0.0	0.0
OTU_272	2.0	6.0	0.0	1.0	1.0	0.0
OTU_273	1.0	0.0	0.0	6.0	0.0	0.0
OTU_274	0.0	1.0	7.0	4.0	0.0	0.0
OTU_275	1.0	7.0	1.0	2.0	1.0	0.0
OTU_276	0.0	7.0	0.0	3.0	0.0	1.0
OTU_277	1.0	1.0	0.0	0.0	1.0	1.0
OTU_278	3.0	1.0	13.0	0.0	0.0	0.0
OTU_279	0.0	0.0	1.0	0.0	0.0	0.0
OTU_280	7.0	11.0	0.0	2.0	4.0	0.0
OTU_281	2.0	10.0	3.0	7.0	0.0	2.0
OTU_282	0.0	1.0	4.0	2.0	3.0	0.0
OTU_283	0.0	6.0	3.0	18.0	0.0	0.0
OTU_284	1.0	2.0	1.0	0.0	0.0	0.0
OTU_286	0.0	0.0	4.0	1.0	17.0	1.0
OTU_287	15.0	6.0	1.0	1.0	0.0	0.0
OTU_288	0.0	0.0	0.0	0.0	0.0	0.0
OTU_289	0.0	4.0	3.0	0.0	0.0	0.0
OTU_290	0.0	14.0	0.0	7.0	1.0	0.0
OTU_291	1.0	1.0	0.0	0.0	12.0	1.0
OTU_292	1.0	3.0	3.0	4.0	0.0	0.0
OTU_293	3.0	8.0	1.0	0.0	0.0	0.0
OTU_294	0.0	1.0	2.0	3.0	3.0	0.0
OTU_295	0.0	8.0	6.0	3.0	2.0	2.0
